Supervised (ImageNet),Temporal 60 s (movies),Temporal 10 s (movies),Temporal 1 s (movies),Temporal 5 min (movies),CMC (movies),random,CMC (ImageNet)
0.06253137612583201,-0.13329581248350753,0.7271406907202854,-0.16011815372359672,0.11037946042325816,0.027503237471520482,-0.12674138861006096,-0.13299307023398502
-0.28498097336001943,0.5646950067425136,-0.07247688714954398,-0.02680452475114202,-0.01823258170102022,0.4775813676691273,0.5795242731451993,0.20229478975797094
-0.2882318490822935,0.17044289844259902,0.07691835411395118,-0.08589990913779089,-0.09169692542920803,0.034776138317152816,0.02246021604675888,-0.24908588748995514
-0.12322920903111585,0.028630119136120617,0.344063983085417,-0.11739903591316972,-0.11173823852690982,-0.10234126710365317,0.04300045302555418,0.035463281781177455
0.4015100756677445,-0.17441927894507006,0.07459395346651201,-0.008186183082593328,0.468419029614459,0.08891095738419087,-0.1708645390520348,0.521640810298425
0.27588650873991966,0.3449357747909259,-0.12283657294479992,-0.2369714134529871,-0.2872768176957134,0.5121289569159575,0.3305740212150657,-0.10412132060268188
-0.2388903215937357,-0.1261775886449973,0.3003414034748136,-0.0316324751101017,0.004548732029631353,0.03709053754195189,-0.24944711553874777,-0.20502983205112693
0.40935526555631996,-0.2388769805763699,0.4862272265517706,-0.2275657099241052,0.1408702863925672,-0.0190793461410997,0.14412962407647767,-0.06913844062916041
-0.12426454520644231,0.04104680623667979,-0.21438220317588833,0.10958358494127066,0.07876373240287547,0.29261998844959425,0.0543724785301666,0.0589777585338378
-0.0379339431555209,-0.1754346604057821,-0.0002380905025543001,-0.1389314609061908,-0.06726170031314967,0.06225442715183935,-0.14149172121593037,0.4918953088859292
-0.060648792548301314,-0.22550847358264914,0.09215892080593235,0.14536838092805876,-0.245710718213482,0.017010580101729858,-0.19170286217377683,-0.10484852600444952
0.005206546832020903,0.34248790752079544,0.0405760762864301,0.1324762835865947,0.020140132456327065,0.2574329834291186,-0.1897336127768944,0.5546952028210452
-0.18008027497135015,0.008846664654509964,0.042422394843637024,0.04743053870343422,0.06634488182103569,0.3808897651329557,0.0302017020754654,-0.2662901223823196
-0.031484882550163656,-0.28030487730532366,-0.16911719100507686,-0.08644764075086421,0.21411530009896512,-0.02852341709673209,-0.03895357066418971,0.02428609976630302
0.31416220223564273,0.17306094699427615,-0.004422958500398026,-0.19160475983583652,-0.2345682193942722,0.25970629041898907,-0.13705868638311303,0.008164231389746701
-0.10361292058084742,0.06977582051436396,-0.21694582869651344,-0.08097027585478497,0.24252501790887968,0.11450494963986664,0.05983593097318482,0.11211952419874142
-0.16970822213486164,-0.12326635944749657,0.4845505933812238,0.025198294292190858,-0.1932254200939467,-0.1325012244845581,0.12971141455364515,0.03908698486299492
0.026200763919612312,0.24571706483859002,0.014508177550918176,0.49990139340416295,-0.1380180030151641,-0.05018923116378681,0.38403369091809236,0.4667928351274199
-0.10350858474037669,-0.10470380532760096,-0.2687326664133815,0.20723152009795176,-0.001559434150724126,0.016451375663386586,-0.06978567588844502,0.24768898724511534
-0.13007507325786466,0.3039140139318617,0.022360353937479677,-0.020867932538508237,-0.09593553313469613,0.04122243954332811,0.4333807533808273,0.04410340253103495
0.1112587596044584,-0.04815507259067888,-0.11530991366934784,0.2768494791621564,0.1313201415461107,-0.16138371481669506,-0.1492205689536775,-0.2821332272558471
-0.32069106193848984,-0.14363558273622007,-0.28997396934612435,0.013290427040775196,0.12049432879324895,0.13005670584095205,-0.15049524453547855,-0.04984630385541143
-0.25302112253580145,-0.2783831703806602,-0.10216047473706684,0.23293284158139654,-0.13398524426260522,0.3399119542203323,0.5593324600687652,-0.21894387818791167
0.3002129539145574,0.15778734112070675,-0.2097694187493015,-0.010985062666221207,-0.26687328649835546,0.2828380476373001,-0.017037391233101884,0.0005283286246257901
-0.1394748248799463,-0.006775760273312115,-0.023755680247289947,0.25002194423091356,-0.07280882202858839,0.2651106796805947,-0.10443091834204944,-0.1650610155440329
0.04379079675358286,0.04281752608904166,-0.12448420081012107,-0.12070627876221525,0.39110803522421417,-0.022026032504877766,0.48214824367343045,-0.14036359228954412
-0.12722428708003275,-0.042788290926550815,-0.15861874706251905,-0.24700247042314047,0.164265534604321,-0.1854842928414559,-0.061770063222262306,-0.07447546842227286
0.045723412289769755,0.21295309778523083,-0.06389583916107847,-0.14274479750001448,0.42606624468170967,0.15937618839299916,-0.14093732375870063,-0.08590873097991225
0.11409652010243772,0.01501330297767442,-0.19925209679757067,-0.13158064976165199,0.40276689928455445,-0.07105276536929112,-0.19388964436176745,0.22454604920419058
-0.30858690407479716,0.32560418857750606,-0.023788403447407687,0.07011188106656774,-0.09588198511514309,-0.0924325101800577,-0.21007419016438525,-0.024434450615659797
-0.15639803676806058,-0.15102761865108014,0.1399909183237576,0.12756063463154105,-0.31791627528161115,-0.2631308989000425,-0.2646805665591953,-0.24311520269202352
0.09808787901788664,0.16984722951023337,-0.16389897009118137,0.07655631030401766,-0.29361185761556496,-0.17808136141397063,0.5017301576812165,-0.06618831460292438
-0.19970092973379208,-0.2315306106052963,0.395822352440687,-0.028004801143754032,-0.18469712635872584,0.3441157383564036,0.27137945309131645,0.21189484930910818
-0.08449457757030696,0.013381819319542292,-0.07107546635072273,-0.12662197988745139,-0.1932166590086577,0.2839585695329716,-0.2660465097440534,-0.23170177391683008
-0.12604168386322345,0.050386793469779166,0.054564663522354964,-0.2138589867012624,-0.16849867587127723,0.20972415682228146,-0.20653610554004495,0.5902627427582752
-0.06965577881068377,0.46450726630498484,-0.07480974133264909,0.1999678497775964,-0.24545881231656863,0.19703074598360565,0.1520159360333922,0.2875216396960563
-0.06976253123500667,0.28062831877280037,-0.058366305700563524,-0.010512394349487433,-0.0723935874674521,0.5855131461721257,0.11683080462614852,-0.1017112758164117
-0.12814551933013327,0.23659154110133482,0.14657834890232724,-0.10675243958629296,-0.21797004651896776,-0.1122291629268353,-0.14032406681422238,-0.05945351751181316
